onset	duration	stimulus
1.0063	4.0	CSnegHt
25.0118	4.0	CSneutFt
49.0173	4.0	CSminFt
73.0061	4.0	CSneutHt
97.0117	4.0	CSminHt
121.0172	4.0	CSnegFt
145.006	4.0	CSnegHt
169.0116	4.0	CSneutFt
193.0171	4.0	CSminFt
217.0059	4.0	CSneutHt
241.0114	4.0	CSminHt
265.017	4.0	CSnegFt
289.0058	4.0	CSnegHf
293.3688	0.5	USneg
313.0113	4.0	CSneutFf
317.0205	0.5	USneut
337.0169	4.0	CSminFf
361.0057	4.0	CSneutHf
365.0193	0.5	USneut
385.0113	4.0	CSnegFf
389.3688	0.5	USneg
409.0168	4.0	CSminHf
433.0056	4.0	CSneutFf
437.0191	0.5	USneut
457.0111	4.0	CSminHf
481.0167	4.0	CSnegHt
505.0055	4.0	CSneutFt
529.0111	4.0	CSminFt
553.0166	4.0	CSneutHt
577.0054	4.0	CSminHt
601.0109	4.0	CSnegFt
625.0164	4.0	CSnegHf
629.3678	0.5	USneg
649.0053	4.0	CSnegFf
653.3678	0.5	USneg
673.0108	4.0	CSnegFf
677.3678	0.5	USneg
697.0164	4.0	CSminFf
721.0052	4.0	CSneutFf
725.0183	0.5	USneut
745.0107	4.0	CSneutHf
749.0183	0.5	USneut
769.0162	4.0	CSnegHf
773.3678	0.5	USneg
793.0051	4.0	CSminFf
817.0106	4.0	CSneutHf
821.0182	0.5	USneut
841.0161	4.0	CSminHf
865.005	4.0	CSnegHt
889.0105	4.0	CSneutFt
912.9994	4.0	CSminFt
937.005	4.0	CSneutHt
961.0104	4.0	CSminHt
984.9993	4.0	CSnegFt
1009.0048	4.0	CSneutFf
1013.0176	0.5	USneut
1033.0103	4.0	CSnegHf
1037.3668	0.5	USneg
1056.9992	4.0	CSnegFf
1061.3669	0.5	USneg
1081.0047	4.0	CSminHf
1105.0102	4.0	CSneutHf
1109.0173	0.5	USneut
1128.9991	4.0	CSminFf
1153.0046	4.0	CSnegHt
1177.0101	4.0	CSneutFt
1200.999	4.0	CSminFt
1225.0045	4.0	CSneutHt
1249.01	4.0	CSminHt
1272.9989	4.0	CSnegFt
1297.0045	4.0	CSneutHf
1301.0168	0.5	USneut
1321.0099	4.0	CSnegHf
1325.3668	0.5	USneg
1344.9988	4.0	CSminHf
1369.0043	4.0	CSnegFf
1373.3658	0.5	USneg
1393.0098	4.0	CSneutFf
1397.0166	0.5	USneut
1416.9987	4.0	CSnegHt
1441.0042	4.0	CSneutFt
1465.0097	4.0	CSminFt
1488.9986	4.0	CSneutHt
1513.0041	4.0	CSminHt
1537.0096	4.0	CSnegFt
1560.9984	4.0	CSnegHf
1565.3658	0.5	USneg
1585.004	4.0	CSminFf
1609.0095	4.0	CSnegFf
1613.3658	0.5	USneg
1632.9983	4.0	CSminFf
1657.0039	4.0	CSneutFf
1661.0159	0.5	USneut
1681.0094	4.0	CSminHf
1704.9982	4.0	CSneutHf
1709.0158	0.5	USneut
1729.0038	4.0	CSnegHt
1753.0093	4.0	CSneutFt
1776.9981	4.0	CSminFt
1801.0037	4.0	CSneutHt
1825.0092	4.0	CSminHt
1848.998	4.0	CSnegFt
