onset	duration	stimulus
1.0182	4.0	CSnegHt
25.007	4.0	CSneutFt
49.0124	4.0	CSminFt
73.0178	4.0	CSneutHt
97.0066	4.0	CSminHt
121.012	4.0	CSnegFt
145.0174	4.0	CSnegHt
169.0062	4.0	CSneutFt
193.0116	4.0	CSminFt
217.017	4.0	CSneutHt
241.0058	4.0	CSminHt
265.0112	4.0	CSnegFt
288.9999	4.0	CSnegHf
293.3679	0.5	USneg
313.0054	4.0	CSneutFf
317.0333	0.5	USneut
337.0109	4.0	CSminFf
360.9996	4.0	CSneutHf
365.0179	0.5	USneut
385.005	4.0	CSnegFf
389.3669	0.5	USneg
409.0104	4.0	CSminHf
432.9992	4.0	CSneutFf
437.0174	0.5	USneut
457.0046	4.0	CSminHf
481.01	4.0	CSnegHt
504.9988	4.0	CSneutFt
529.0042	4.0	CSminFt
553.0096	4.0	CSneutHt
576.9984	4.0	CSminHt
601.0038	4.0	CSnegFt
625.0092	4.0	CSnegHf
629.3659	0.5	USneg
648.998	4.0	CSnegFf
653.3659	0.5	USneg
673.0034	4.0	CSnegFf
677.3649	0.5	USneg
697.0088	4.0	CSminFf
720.9976	4.0	CSneutFf
725.0155	0.5	USneut
745.003	4.0	CSneutHf
749.0154	0.5	USneut
769.0084	4.0	CSnegHf
773.3649	0.5	USneg
792.9972	4.0	CSminFf
817.0026	4.0	CSneutHf
821.0149	0.5	USneut
841.0081	4.0	CSminHf
864.9968	4.0	CSnegHt
889.0022	4.0	CSneutFt
913.0076	4.0	CSminFt
936.9964	4.0	CSneutHt
961.0018	4.0	CSminHt
985.0072	4.0	CSnegFt
1008.996	4.0	CSneutFf
1013.0136	0.5	USneut
1033.0014	4.0	CSnegHf
1037.3629	0.5	USneg
1057.0068	4.0	CSnegFf
1061.3629	0.5	USneg
1080.9956	4.0	CSminHf
1105.0011	4.0	CSneutHf
1109.013	0.5	USneut
1129.0064	4.0	CSminFf
1152.9952	4.0	CSnegHt
1177.0006	4.0	CSneutFt
1201.006	4.0	CSminFt
1224.9948	4.0	CSneutHt
1249.0002	4.0	CSminHt
1273.0056	4.0	CSnegFt
1296.9944	4.0	CSneutHf
1301.0117	0.5	USneut
1320.9998	4.0	CSnegHf
1325.3609	0.5	USneg
1345.0052	4.0	CSminHf
1368.994	4.0	CSnegFf
1373.3609	0.5	USneg
1392.9995	4.0	CSneutFf
1397.0111	0.5	USneut
1417.0049	4.0	CSnegHt
1440.9936	4.0	CSneutFt
1464.999	4.0	CSminFt
1489.0045	4.0	CSneutHt
1512.9932	4.0	CSminHt
1536.9987	4.0	CSnegFt
1561.0041	4.0	CSnegHf
1565.3599	0.5	USneg
1584.9928	4.0	CSminFf
1608.9983	4.0	CSnegFf
1613.3589	0.5	USneg
1633.0037	4.0	CSminFf
1656.9924	4.0	CSneutFf
1661.0093	0.5	USneut
1680.9979	4.0	CSminHf
1705.0033	4.0	CSneutHf
1709.009	0.5	USneut
1728.992	4.0	CSnegHt
1752.9975	4.0	CSneutFt
1777.0029	4.0	CSminFt
1800.9917	4.0	CSneutHt
1824.9971	4.0	CSminHt
1849.0025	4.0	CSnegFt
