onset	duration	stimulus
1.0108	4.0	CSneutFt
25.0163	4.0	CSnegHt
49.0053	4.0	CSneutHt
73.0108	4.0	CSminFt
97.0164	4.0	CSnegFt
121.0055	4.0	CSminHt
145.0109	4.0	CSneutFt
169.0165	4.0	CSnegHt
193.0055	4.0	CSneutHt
217.011	4.0	CSminFt
241.0166	4.0	CSnegFt
265.0056	4.0	CSminHt
289.0111	4.0	CSneutFf
293.0217	0.5	USneut
313.0167	4.0	CSnegHf
317.3706	0.5	USneg
337.0057	4.0	CSneutHf
341.0208	0.5	USneut
361.0112	4.0	CSminFf
385.0168	4.0	CSminHf
409.0058	4.0	CSnegFf
413.3706	0.5	USneg
433.0113	4.0	CSminHf
457.0169	4.0	CSneutFf
461.021	0.5	USneut
481.0059	4.0	CSneutFt
505.0114	4.0	CSnegHt
529.017	4.0	CSneutHt
553.006	4.0	CSminFt
577.0116	4.0	CSnegFt
601.0171	4.0	CSminHt
625.006	4.0	CSnegHf
629.3706	0.5	USneg
649.0116	4.0	CSnegFf
653.3706	0.5	USneg
673.0172	4.0	CSnegFf
677.3706	0.5	USneg
697.0061	4.0	CSminFf
721.0118	4.0	CSneutHf
725.0214	0.5	USneut
745.0173	4.0	CSneutFf
749.0214	0.5	USneut
769.0062	4.0	CSminFf
793.0118	4.0	CSnegHf
797.3706	0.5	USneg
817.0174	4.0	CSminHf
841.0063	4.0	CSneutHf
845.0216	0.5	USneut
865.0119	4.0	CSneutFt
889.0175	4.0	CSnegHt
913.0064	4.0	CSneutHt
937.012	4.0	CSminFt
961.0176	4.0	CSnegFt
985.0065	4.0	CSminHt
1009.0121	4.0	CSnegHf
1013.3716	0.5	USneg
1033.0177	4.0	CSneutFf
1037.0219	0.5	USneut
1057.0067	4.0	CSminHf
1081.0122	4.0	CSnegFf
1085.3716	0.5	USneg
1105.0178	4.0	CSminFf
1129.0067	4.0	CSneutHf
1133.022	0.5	USneut
1153.0123	4.0	CSneutFt
1177.018	4.0	CSnegHt
1201.0069	4.0	CSneutHt
1225.0124	4.0	CSminFt
1249.018	4.0	CSnegFt
1273.0069	4.0	CSminHt
1297.0125	4.0	CSnegHf
1301.3716	0.5	USneg
1321.0181	4.0	CSneutHf
1325.0224	0.5	USneut
1345.007	4.0	CSnegFf
1349.3716	0.5	USneg
1369.0126	4.0	CSminHf
1393.0182	4.0	CSneutFf
1397.0225	0.5	USneut
1417.0071	4.0	CSneutFt
1441.0127	4.0	CSnegHt
1465.0183	4.0	CSneutHt
1489.0072	4.0	CSminFt
1513.0128	4.0	CSnegFt
1537.0184	4.0	CSminHt
1561.0073	4.0	CSminFf
1585.0129	4.0	CSnegHf
1589.3726	0.5	USneg
1609.0185	4.0	CSminFf
1633.0074	4.0	CSnegFf
1637.3726	0.5	USneg
1657.013	4.0	CSminHf
1681.0186	4.0	CSneutFf
1685.0229	0.5	USneut
1705.0075	4.0	CSneutHf
1709.023	0.5	USneut
1729.0131	4.0	CSneutFt
1753.0187	4.0	CSnegHt
1777.0076	4.0	CSneutHt
1801.0132	4.0	CSminFt
1825.0188	4.0	CSnegFt
1849.0077	4.0	CSminHt
