onset	duration	stimulus
1.0093	4.0	CSnegHt
25.015	4.0	CSneutFt
49.0039	4.0	CSminFt
73.0095	4.0	CSneutHt
97.0151	4.0	CSminHt
121.004	4.0	CSnegFt
145.0096	4.0	CSnegHt
169.0152	4.0	CSneutFt
193.0042	4.0	CSminFt
217.0098	4.0	CSneutHt
241.0154	4.0	CSminHt
265.0043	4.0	CSnegFt
289.0099	4.0	CSnegHf
293.3697	0.5	USneg
313.0155	4.0	CSneutFf
317.0351	0.5	USneut
337.0045	4.0	CSminFf
361.0101	4.0	CSneutHf
365.0205	0.5	USneut
385.0158	4.0	CSnegFf
389.3697	0.5	USneg
409.0046	4.0	CSminHf
433.0102	4.0	CSneutFf
437.0205	0.5	USneut
457.0158	4.0	CSminHf
481.0048	4.0	CSnegHt
505.0104	4.0	CSneutFt
529.016	4.0	CSminFt
553.005	4.0	CSneutHt
577.0106	4.0	CSminHt
601.0162	4.0	CSnegFt
625.0051	4.0	CSnegHf
629.3697	0.5	USneg
649.0107	4.0	CSnegFf
653.3707	0.5	USneg
673.0163	4.0	CSnegFf
677.3707	0.5	USneg
697.0053	4.0	CSminFf
721.0109	4.0	CSneutFf
725.0207	0.5	USneut
745.0165	4.0	CSneutHf
749.0207	0.5	USneut
769.0054	4.0	CSnegHf
773.3707	0.5	USneg
793.011	4.0	CSminFf
817.0166	4.0	CSneutHf
821.0208	0.5	USneut
841.0056	4.0	CSminHf
865.0112	4.0	CSnegHt
889.0168	4.0	CSneutFt
913.0058	4.0	CSminFt
937.0114	4.0	CSneutHt
961.017	4.0	CSminHt
985.0059	4.0	CSnegFt
1009.0115	4.0	CSneutFf
1013.0209	0.5	USneut
1033.0171	4.0	CSnegHf
1037.3707	0.5	USneg
1057.0061	4.0	CSnegFf
1061.3707	0.5	USneg
1081.0117	4.0	CSminHf
1105.0173	4.0	CSneutHf
1109.021	0.5	USneut
1129.0063	4.0	CSminFf
1153.0119	4.0	CSnegHt
1177.0175	4.0	CSneutFt
1201.0064	4.0	CSminFt
1225.012	4.0	CSneutHt
1249.0176	4.0	CSminHt
1273.0066	4.0	CSnegFt
1297.0122	4.0	CSneutHf
1301.0211	0.5	USneut
1321.0178	4.0	CSnegHf
1325.3707	0.5	USneg
1345.0067	4.0	CSminHf
1369.0123	4.0	CSnegFf
1373.3707	0.5	USneg
1393.018	4.0	CSneutFf
1397.0212	0.5	USneut
1417.0069	4.0	CSnegHt
1441.0125	4.0	CSneutFt
1465.0181	4.0	CSminFt
1489.0071	4.0	CSneutHt
1513.0127	4.0	CSminHt
1537.0183	4.0	CSnegFt
1561.0072	4.0	CSnegHf
1565.3707	0.5	USneg
1585.0128	4.0	CSminFf
1609.0185	4.0	CSnegFf
1613.3707	0.5	USneg
1633.0074	4.0	CSminFf
1657.013	4.0	CSneutFf
1661.0213	0.5	USneut
1681.0186	4.0	CSminHf
1705.0076	4.0	CSneutHf
1709.0213	0.5	USneut
1729.0132	4.0	CSnegHt
1753.0188	4.0	CSneutFt
1777.0077	4.0	CSminFt
1801.0133	4.0	CSneutHt
1825.0189	4.0	CSminHt
1849.0079	4.0	CSnegFt
