onset	duration	stimulus
1.0099	4.0	CSnegHt
25.0154	4.0	CSneutFt
49.0042	4.0	CSminFt
73.0098	4.0	CSneutHt
97.0153	4.0	CSminHt
121.0041	4.0	CSnegFt
145.0096	4.0	CSnegHt
169.0151	4.0	CSneutFt
193.004	4.0	CSminFt
217.0095	4.0	CSneutHt
241.015	4.0	CSminHt
265.0039	4.0	CSnegFt
289.0094	4.0	CSnegHf
293.3693	0.5	USneg
313.015	4.0	CSneutFf
317.0204	0.5	USneut
337.0038	4.0	CSminFf
361.0093	4.0	CSneutHf
365.0191	0.5	USneut
385.0148	4.0	CSnegFf
389.3683	0.5	USneg
409.0037	4.0	CSminHf
433.0092	4.0	CSneutFf
437.0189	0.5	USneut
457.0147	4.0	CSminHf
481.0036	4.0	CSnegHt
505.0091	4.0	CSneutFt
529.0146	4.0	CSminFt
553.0035	4.0	CSneutHt
577.009	4.0	CSminHt
601.0145	4.0	CSnegFt
625.0034	4.0	CSnegHf
629.3683	0.5	USneg
649.0089	4.0	CSnegFf
653.3673	0.5	USneg
673.0144	4.0	CSnegFf
677.3673	0.5	USneg
697.0033	4.0	CSminFf
721.0088	4.0	CSneutFf
725.018	0.5	USneut
745.0143	4.0	CSneutHf
749.018	0.5	USneut
769.0032	4.0	CSnegHf
773.3673	0.5	USneg
793.0087	4.0	CSminFf
817.0142	4.0	CSneutHf
821.0177	0.5	USneut
841.0031	4.0	CSminHf
865.0086	4.0	CSnegHt
889.0141	4.0	CSneutFt
913.003	4.0	CSminFt
937.0085	4.0	CSneutHt
961.014	4.0	CSminHt
985.0029	4.0	CSnegFt
1009.0084	4.0	CSneutFf
1013.0171	0.5	USneut
1033.0139	4.0	CSnegHf
1037.3663	0.5	USneg
1057.0028	4.0	CSnegFf
1061.3663	0.5	USneg
1081.0083	4.0	CSminHf
1105.0138	4.0	CSneutHf
1109.0167	0.5	USneut
1129.0027	4.0	CSminFf
1153.0082	4.0	CSnegHt
1177.0137	4.0	CSneutFt
1201.0026	4.0	CSminFt
1225.0081	4.0	CSneutHt
1249.0136	4.0	CSminHt
1273.0025	4.0	CSnegFt
1297.008	4.0	CSneutHf
1301.0161	0.5	USneut
1321.0135	4.0	CSnegHf
1325.3653	0.5	USneg
1345.0024	4.0	CSminHf
1369.0079	4.0	CSnegFf
1373.3653	0.5	USneg
1393.0135	4.0	CSneutFf
1397.0158	0.5	USneut
1417.0023	4.0	CSnegHt
1441.0078	4.0	CSneutFt
1465.0134	4.0	CSminFt
1489.0022	4.0	CSneutHt
1513.0078	4.0	CSminHt
1537.0133	4.0	CSnegFt
1561.0021	4.0	CSnegHf
1565.3653	0.5	USneg
1585.0076	4.0	CSminFf
1609.0132	4.0	CSnegFf
1613.3643	0.5	USneg
1633.002	4.0	CSminFf
1657.0076	4.0	CSneutFf
1661.015	0.5	USneut
1680.9964	4.0	CSminHf
1705.0019	4.0	CSneutHf
1709.0148	0.5	USneut
1729.0075	4.0	CSnegHt
1752.9964	4.0	CSneutFt
1777.0018	4.0	CSminFt
1801.0074	4.0	CSneutHt
1824.9962	4.0	CSminHt
1849.0018	4.0	CSnegFt
