onset	duration	stimulus
1.0037	4.0	CSnegFt
25.0092	4.0	CSminHt
49.0148	4.0	CSneutFt
73.0036	4.0	CSnegHt
97.0091	4.0	CSneutHt
121.0146	4.0	CSminFt
145.0035	4.0	CSnegFt
169.009	4.0	CSminHt
193.0145	4.0	CSneutFt
217.0034	4.0	CSnegHt
241.0089	4.0	CSneutHt
265.0144	4.0	CSminFt
289.0033	4.0	CSnegHf
313.0088	4.0	CSneutFf
337.0144	4.0	CSminFf
361.0031	4.0	CSneutHf
385.0087	4.0	CSnegFf
409.0142	4.0	CSminHf
433.003	4.0	CSneutFf
457.0085	4.0	CSminHf
481.0141	4.0	CSnegFt
505.0029	4.0	CSminHt
529.0085	4.0	CSneutFt
553.0139	4.0	CSnegHt
577.0028	4.0	CSneutHt
601.0083	4.0	CSminFt
625.0138	4.0	CSnegHf
649.0027	4.0	CSnegFf
673.0082	4.0	CSnegFf
697.0138	4.0	CSminFf
721.0026	4.0	CSneutFf
745.0081	4.0	CSneutHf
769.0136	4.0	CSnegHf
793.0024	4.0	CSminFf
817.008	4.0	CSneutHf
841.0135	4.0	CSminHf
865.0023	4.0	CSnegFt
889.0079	4.0	CSminHt
913.0134	4.0	CSneutFt
937.0022	4.0	CSnegHt
961.0077	4.0	CSneutHt
985.0132	4.0	CSminFt
1009.0021	4.0	CSneutFf
1033.0076	4.0	CSnegHf
1057.0131	4.0	CSnegFf
1081.002	4.0	CSminHf
1105.0075	4.0	CSneutHf
1129.013	4.0	CSminFf
1153.0019	4.0	CSnegFt
1177.0074	4.0	CSminHt
1201.0129	4.0	CSneutFt
1225.0017	4.0	CSnegHt
1249.0073	4.0	CSneutHt
1273.0128	4.0	CSminFt
1297.0016	4.0	CSneutHf
1321.0071	4.0	CSnegHf
1345.0127	4.0	CSminHf
1369.0015	4.0	CSnegFf
1393.007	4.0	CSneutFf
1417.0125	4.0	CSnegFt
1441.0014	4.0	CSminHt
1465.0069	4.0	CSneutFt
1489.0124	4.0	CSnegHt
1513.0013	4.0	CSneutHt
1537.0068	4.0	CSminFt
1561.0123	4.0	CSnegHf
1585.0012	4.0	CSminFf
1609.0068	4.0	CSnegFf
1633.0122	4.0	CSminFf
1657.001	4.0	CSneutFf
1681.0065	4.0	CSminHf
1705.012	4.0	CSneutHf
1729.0009	4.0	CSnegFt
1753.0064	4.0	CSminHt
1777.0119	4.0	CSneutFt
1801.0008	4.0	CSnegHt
1825.0063	4.0	CSneutHt
1849.0118	4.0	CSminFt
