onset	duration	stimulus
1.0142	4.0	CSneutFt
25.0031	4.0	CSnegHt
49.0086	4.0	CSneutHt
73.0141	4.0	CSminFt
97.003	4.0	CSnegFt
121.0085	4.0	CSminHt
145.0141	4.0	CSneutFt
169.0029	4.0	CSnegHt
193.0084	4.0	CSneutHt
217.0139	4.0	CSminFt
241.0028	4.0	CSnegFt
265.0083	4.0	CSminHt
289.0138	4.0	CSneutFf
293.0317	0.5	USneut
313.0027	4.0	CSnegHf
317.3692	0.5	USneg
337.0082	4.0	CSneutHf
341.0191	0.5	USneut
361.0138	4.0	CSminFf
385.0026	4.0	CSminHf
409.0081	4.0	CSnegFf
413.3682	0.5	USneg
433.0137	4.0	CSminHf
457.0025	4.0	CSneutFf
461.0187	0.5	USneut
481.0081	4.0	CSneutFt
505.0136	4.0	CSnegHt
529.0025	4.0	CSneutHt
553.008	4.0	CSminFt
577.0135	4.0	CSnegFt
601.0024	4.0	CSminHt
625.0079	4.0	CSnegHf
629.3682	0.5	USneg
649.0135	4.0	CSnegFf
653.3672	0.5	USneg
673.0023	4.0	CSnegFf
677.3672	0.5	USneg
697.0078	4.0	CSminFf
721.0133	4.0	CSneutHf
725.0179	0.5	USneut
745.0022	4.0	CSneutFf
749.0178	0.5	USneut
769.0077	4.0	CSminFf
793.0132	4.0	CSnegHf
797.3672	0.5	USneg
817.0021	4.0	CSminHf
841.0076	4.0	CSneutHf
845.0175	0.5	USneut
865.0132	4.0	CSneutFt
889.0021	4.0	CSnegHt
913.0076	4.0	CSneutHt
937.0131	4.0	CSminFt
961.002	4.0	CSnegFt
985.0075	4.0	CSminHt
1009.013	4.0	CSnegHf
1013.3662	0.5	USneg
1033.0019	4.0	CSneutFf
1037.0169	0.5	USneut
1057.0075	4.0	CSminHf
1081.0129	4.0	CSnegFf
1085.3662	0.5	USneg
1105.0018	4.0	CSminFf
1129.0073	4.0	CSneutHf
1133.0165	0.5	USneut
1153.0128	4.0	CSneutFt
1177.0017	4.0	CSnegHt
1201.0072	4.0	CSneutHt
1225.0128	4.0	CSminFt
1249.0016	4.0	CSnegFt
1273.0072	4.0	CSminHt
1297.0127	4.0	CSnegHf
1301.3652	0.5	USneg
1321.0016	4.0	CSneutHf
1325.0159	0.5	USneut
1345.0071	4.0	CSnegFf
1349.3652	0.5	USneg
1369.0126	4.0	CSminHf
1393.0015	4.0	CSneutFf
1397.0157	0.5	USneut
1417.007	4.0	CSneutFt
1441.0125	4.0	CSnegHt
1465.0014	4.0	CSneutHt
1489.0069	4.0	CSminFt
1513.0125	4.0	CSnegFt
1537.0013	4.0	CSminHt
1561.0068	4.0	CSminFf
1585.0125	4.0	CSnegHf
1589.3642	0.5	USneg
1609.0012	4.0	CSminFf
1633.0068	4.0	CSnegFf
1637.3642	0.5	USneg
1657.0123	4.0	CSminHf
1681.0012	4.0	CSneutFf
1685.0147	0.5	USneut
1705.0067	4.0	CSneutHf
1709.0146	0.5	USneut
1729.0122	4.0	CSneutFt
1753.0011	4.0	CSnegHt
1777.0066	4.0	CSneutHt
1801.0123	4.0	CSminFt
1825.001	4.0	CSnegFt
1849.0065	4.0	CSminHt
