onset	duration	stimulus
1.0112	4.0	CSminFt
25.0167	4.0	CSneutFt
49.0056	4.0	CSnegFt
73.0111	4.0	CSminHt
97.0166	4.0	CSnegHt
121.0055	4.0	CSneutHt
145.011	4.0	CSminFt
169.0166	4.0	CSneutFt
193.0054	4.0	CSnegFt
217.0109	4.0	CSminHt
241.0164	4.0	CSnegHt
265.0053	4.0	CSneutHt
289.0108	4.0	CSneutFf
313.0163	4.0	CSnegHf
337.0052	4.0	CSnegFf
361.0107	4.0	CSminFf
385.0162	4.0	CSminHf
409.0051	4.0	CSminHf
433.0106	4.0	CSneutFf
457.0162	4.0	CSneutHf
481.005	4.0	CSminFt
505.0105	4.0	CSneutFt
529.0161	4.0	CSnegFt
553.0049	4.0	CSminHt
577.0104	4.0	CSnegHt
601.016	4.0	CSneutHt
625.0048	4.0	CSnegFf
649.0104	4.0	CSnegHf
673.0159	4.0	CSminFf
697.0047	4.0	CSnegFf
721.0103	4.0	CSneutHf
745.0158	4.0	CSneutFf
769.0046	4.0	CSminFf
793.0102	4.0	CSminHf
817.0157	4.0	CSnegHf
841.0046	4.0	CSneutHf
865.0101	4.0	CSminFt
889.0156	4.0	CSneutFt
913.0044	4.0	CSnegFt
937.01	4.0	CSminHt
961.0155	4.0	CSnegHt
985.0043	4.0	CSneutHt
1009.01	4.0	CSnegHf
1033.0154	4.0	CSneutFf
1057.0042	4.0	CSminHf
1081.0098	4.0	CSnegFf
1105.0153	4.0	CSneutHf
1129.0041	4.0	CSminFf
1153.0097	4.0	CSminFt
1177.0153	4.0	CSneutFt
1201.004	4.0	CSnegFt
1225.0096	4.0	CSminHt
1249.0151	4.0	CSnegHt
1273.0039	4.0	CSneutHt
1297.0095	4.0	CSnegFf
1321.015	4.0	CSnegHf
1345.0038	4.0	CSneutHf
1369.0094	4.0	CSminHf
1393.0149	4.0	CSneutFf
1417.0037	4.0	CSminFt
1441.0093	4.0	CSneutFt
1465.0148	4.0	CSnegFt
1489.0037	4.0	CSminHt
1513.0092	4.0	CSnegHt
1536.9981	4.0	CSneutHt
1561.0035	4.0	CSminFf
1585.0091	4.0	CSnegHf
1608.9979	4.0	CSneutFf
1633.0035	4.0	CSminFf
1657.009	4.0	CSnegFf
1680.9978	4.0	CSminHf
1705.0034	4.0	CSneutHf
1729.0089	4.0	CSminFt
1752.9977	4.0	CSneutFt
1777.0032	4.0	CSnegFt
1801.0088	4.0	CSminHt
1824.9976	4.0	CSnegHt
1849.0032	4.0	CSneutHt
